animalid,status,exotic,sexp,cage,fsummer2,.fgspr,dzkid
1,1,Exotic,Female,3-5 years,Fresh fern,1,18
2,0,Exotic,Female,3-5 years,Fresh fern,3,18
3,0,Exotic,Male,3-5 years,Fresh fern,2,18
4,0,Exotic,Male,3-5 years,Fresh fern,3,18
5,0,Local,Male,3-5 years,Fresh fern,3,18
6,1,Exotic,Female,6 years,Fresh fern,2,18
7,0,Local,Female,6 years,No fern,3,13
8,1,Local,Female,7-8 years,No fern,3,13
9,0,Local,Female,3-5 years,No fern,3,13
10,0,Local,Female,7-8 years,Fresh fern,3,19
11,0,Local,Female,3-5 years,No fern,3,19
12,1,Local,Female,3-5 years,Fresh fern,3,19
13,1,Local,Female,3-5 years,Not housed,3,19
14,0,Local,Female,9+years,Not housed,1,19
15,0,Local,Female,3-5 years,No fern,0,19
16,0,Local,Female,3-5 years,No fern,0,19
17,0,Local,Male,3-5 years,No fern,0,19
18,1,Local,Female,7-8 years,Not housed,1,19
19,0,Local,Female,3-5 years,No fern,3,19
20,0,Local,Female,6 years,No fern,3,19
21,1,Local,Female,9+years,Not housed,3,19
22,0,Local,Female,6 years,No fern,0,19
23,0,Local,Female,3-5 years,No fern,3,19
24,1,Local,Female,6 years,No fern,2,19
25,1,Local,Female,3-5 years,Fresh fern,3,19
26,0,Local,Male,9+years,No fern,0,19
27,0,Local,Male,3-5 years,Not housed,0,19
28,0,Local,Male,3-5 years,No fern,3,19
29,1,Local,Female,6 years,Fresh fern,0,19
30,0,Local,Male,9+years,Fresh fern,3,19
31,0,Local,Female,7-8 years,Fresh fern,3,19
32,1,Local,Female,3-5 years,No fern,0,19
33,0,Local,Female,7-8 years,No fern,3,19
34,0,Local,Female,3-5 years,No fern,0,19
35,1,Local,Female,9+years,Not housed,0,19
36,0,Local,Female,6 years,No fern,0,19
37,0,Local,Female,7-8 years,Fresh fern,3,13
38,0,Local,Female,3-5 years,Fresh fern,3,13
39,1,Local,Male,9+years,Fresh fern,3,13
40,0,Local,Female,6 years,Fresh fern,3,13
41,0,Local,Female,9+years,Fresh fern,3,13
42,1,Local,Female,9+years,Fresh fern,3,13
43,0,Local,Male,6 years,Fresh fern,3,13
44,1,Local,Female,3-5 years,Fresh fern,3,13
45,0,Local,Male,7-8 years,Fresh fern,3,13
46,1,Local,Female,9+years,Fresh fern,3,13
47,0,Local,Female,3-5 years,Fresh fern,3,13
48,0,Exotic,Female,3-5 years,Fresh fern,3,13
49,0,Local,Female,6 years,Fresh fern,3,13
50,0,Local,Female,6 years,Fresh fern,3,13
51,1,Local,Male,7-8 years,Fresh fern,3,13
52,1,Local,Male,3-5 years,Fresh fern,3,13
53,0,Local,Female,6 years,Fresh fern,3,13
54,0,Local,Female,3-5 years,Fresh fern,3,13
55,0,Local,Female,6 years,Fresh fern,3,13
56,0,Local,Male,3-5 years,Fresh fern,3,13
57,1,Local,Female,7-8 years,Fresh fern,3,13
58,1,Local,Male,6 years,Fresh fern,3,13
59,0,Local,Female,7-8 years,Fresh fern,3,13
60,0,Local,Male,6 years,Fresh fern,3,13
61,1,Exotic,Female,7-8 years,Fresh fern,0,2
62,0,Exotic,Female,7-8 years,Fresh fern,3,2
63,0,Exotic,Female,7-8 years,Dry fern,0,2
64,0,Exotic,Female,7-8 years,Fresh fern,2,2
65,0,Exotic,Female,3-5 years,Fresh fern,0,2
66,1,Exotic,Female,9+years,Fresh fern,3,2
67,0,Exotic,Female,7-8 years,Dry fern,3,2
68,1,Exotic,Female,7-8 years,No fern,3,2
69,0,Local,Female,7-8 years,Dry fern,3,2
70,1,Exotic,Female,9+years,Fresh fern,3,2
71,0,Exotic,Female,3-5 years,Fresh fern,0,2
72,0,Exotic,Female,9+years,Fresh fern,3,2
73,1,Exotic,Female,9+years,Fresh fern,3,2
74,0,Exotic,Female,9+years,Fresh fern,0,2
75,0,Exotic,Female,7-8 years,Fresh fern,3,2
76,1,Exotic,Female,9+years,Fresh fern,3,2
77,0,Exotic,Female,9+years,Fresh fern,0,2
78,0,Exotic,Female,6 years,Dry fern,0,2
79,1,Exotic,Female,9+years,Fresh fern,0,2
80,0,Exotic,Female,9+years,Fresh fern,3,2
81,0,Exotic,Female,7-8 years,Fresh fern,1,2
82,0,Exotic,Female,3-5 years,Fresh fern,0,2
83,0,Exotic,Female,9+years,Dry fern,0,2
84,1,Exotic,Female,7-8 years,No fern,0,2
85,1,Local,Male,6 years,Fresh fern,3,2
86,0,Exotic,Female,7-8 years,Fresh fern,3,2
87,0,Exotic,Female,6 years,Fresh fern,0,2
88,0,Exotic,Female,3-5 years,Fresh fern,0,2
89,1,Exotic,Female,9+years,Fresh fern,0,2
90,0,Exotic,Female,6 years,No fern,0,2
91,1,Local,Female,9+years,Fresh fern,3,2
92,0,Exotic,Male,3-5 years,Fresh fern,3,2
93,0,Exotic,Female,7-8 years,Fresh fern,0,2
94,0,Exotic,Female,6 years,Fresh fern,0,2
95,1,Exotic,Female,9+years,No fern,0,2
96,0,Exotic,Female,3-5 years,No fern,0,2
97,0,Local,Female,7-8 years,Fresh fern,3,2
98,1,Local,Female,7-8 years,Fresh fern,3,2
99,0,Local,Female,3-5 years,Fresh fern,3,2
100,0,Exotic,Female,3-5 years,Fresh fern,0,2
101,0,Local,Female,6 years,Fresh fern,3,2
102,1,Local,Female,6 years,Fresh fern,3,2
103,1,Exotic,Female,7-8 years,Fresh fern,3,2
104,0,Local,Male,3-5 years,Fresh fern,3,2
105,0,Exotic,Female,6 years,No fern,3,2
106,1,Exotic,Female,3-5 years,Fresh fern,0,2
107,0,Exotic,Female,9+years,No fern,0,2
108,0,Exotic,Female,7-8 years,Fresh fern,0,2
109,0,Local,Female,7-8 years,No fern,3,2
110,0,Local,Female,6 years,No fern,3,2
111,1,Local,Female,9+years,No fern,3,2
112,1,Exotic,Female,7-8 years,No fern,0,2
113,0,Exotic,Female,6 years,No fern,0,2
114,0,Exotic,Female,6 years,Fresh fern,3,2
115,1,Exotic,Female,6 years,Fresh fern,2,2
116,0,Exotic,Female,3-5 years,No fern,0,2
117,0,Exotic,Female,6 years,Fresh fern,0,2
118,1,Local,Male,3-5 years,Fresh fern,3,2
120,0,Exotic,Female,3-5 years,No fern,3,2
121,1,Exotic,Female,3-5 years,Fresh fern,2,2
122,0,Exotic,Female,3-5 years,Dry fern,0,2
123,0,Exotic,Female,6 years,No fern,3,2
124,1,Exotic,Female,9+years,Fresh fern,3,2
125,0,Local,Female,6 years,Fresh fern,0,2
126,0,Exotic,Female,3-5 years,Fresh fern,0,2
127,1,Exotic,Male,3-5 years,Fresh fern,3,2
128,0,Exotic,Female,3-5 years,Fresh fern,0,2
129,0,Exotic,Female,7-8 years,Fresh fern,0,2
130,0,Exotic,Female,3-5 years,Dry fern,0,16
131,1,Local,Male,3-5 years,Dry fern,0,16
132,1,Local,Female,9+years,Fresh fern,3,7
133,0,Local,Female,9+years,No fern,3,7
134,0,Local,Female,7-8 years,No fern,3,7
135,1,Exotic,Female,9+years,No fern,0,7
137,0,Exotic,Male,3-5 years,No fern,3,7
138,0,NA,Male,9+years,No fern,3,7
139,1,Local,Female,7-8 years,No fern,3,7
140,0,Exotic,Male,3-5 years,No fern,0,7
141,0,Exotic,Male,3-5 years,Fresh fern,3,7
142,0,Exotic,Female,9+years,No fern,3,7
143,1,Exotic,Female,3-5 years,No fern,3,7
144,0,Exotic,Female,9+years,Fresh fern,0,7
145,1,Exotic,Female,9+years,Fresh fern,0,7
146,0,Exotic,Female,9+years,Fresh fern,0,7
147,1,Exotic,Female,9+years,No fern,3,7
149,0,Local,Female,7-8 years,No fern,3,7
150,0,Exotic,Female,9+years,No fern,3,7
151,1,Local,Female,9+years,Fresh fern,3,7
153,0,Exotic,Female,7-8 years,No fern,2,7
155,1,NA,Male,9+years,No fern,3,7
156,0,Local,Female,9+years,No fern,3,12
157,1,Local,Female,9+years,Not housed,3,12
158,0,Local,Female,9+years,No fern,3,12
159,0,Local,Male,6 years,Dry fern,3,12
160,0,Local,Female,7-8 years,Not housed,3,12
161,1,Local,Female,7-8 years,Dry fern,3,12
162,0,Local,Female,9+years,Dry fern,3,12
163,1,Local,Female,9+years,Not housed,3,12
164,0,Local,Female,9+years,Not housed,3,12
165,0,Local,Male,6 years,No fern,0,12
167,1,Local,Male,7-8 years,No fern,2,12
168,1,Local,Female,9+years,No fern,3,12
169,0,Local,Female,9+years,No fern,3,12
170,0,Local,Male,6 years,No fern,3,12
171,0,Local,Female,7-8 years,No fern,3,12
172,1,Local,Male,6 years,No fern,3,12
173,0,Local,Female,6 years,Not housed,3,12
174,0,Local,Female,7-8 years,No fern,3,12
175,0,Local,Female,9+years,No fern,3,12
176,1,Exotic,Female,7-8 years,No fern,3,12
177,1,Local,Female,7-8 years,Dry fern,3,12
178,0,Local,Male,7-8 years,Not housed,3,12
179,1,Exotic,Female,6 years,Fresh fern,3,19
180,0,Local,Male,3-5 years,No fern,3,19
181,0,Local,Female,3-5 years,Not housed,3,19
182,0,Local,Female,3-5 years,Dry fern,3,19
183,0,Local,Female,3-5 years,Fresh fern,3,19
184,1,Local,Female,3-5 years,Not housed,3,19
185,0,Exotic,Female,3-5 years,Fresh fern,3,19
186,0,Exotic,Female,7-8 years,Dry fern,3,19
187,1,Local,Female,3-5 years,Not housed,3,19
188,0,Local,Female,6 years,Not housed,3,19
189,1,Exotic,Female,7-8 years,Fresh fern,3,19
190,0,Local,Female,7-8 years,Not housed,3,19
191,1,Exotic,Female,7-8 years,Fresh fern,3,19
192,0,Local,Female,9+years,Not housed,3,19
193,0,Local,Female,3-5 years,Not housed,3,19
194,0,Local,Male,3-5 years,Not housed,3,19
195,0,Local,Female,7-8 years,Not housed,3,19
196,1,Local,Female,6 years,Not housed,3,19
197,0,Exotic,Female,6 years,Fresh fern,3,19
198,0,Exotic,Female,7-8 years,Not housed,3,19
199,1,Exotic,Female,9+years,Not housed,3,19
201,1,Local,Female,9+years,Not housed,3,19
202,0,Local,Female,9+years,Not housed,3,19
203,1,Exotic,Female,3-5 years,Fresh fern,3,19
204,0,Local,Female,3-5 years,Fresh fern,3,19
205,0,Local,Female,6 years,Not housed,3,19
206,0,Exotic,Female,7-8 years,No fern,3,19
207,1,Local,Female,3-5 years,No fern,3,19
208,0,Local,Female,3-5 years,Fresh fern,3,19
209,1,Local,Male,3-5 years,Not housed,3,19
210,0,Local,Female,7-8 years,Fresh fern,3,19
211,0,Exotic,Female,3-5 years,No fern,3,19
212,1,Local,Female,7-8 years,Not housed,3,19
213,0,Local,Female,7-8 years,Fresh fern,3,19
214,0,Local,Female,3-5 years,Dry fern,3,19
215,1,Exotic,Female,9+years,Not housed,3,3
216,0,Local,Female,7-8 years,No fern,0,3
217,0,Local,Male,9+years,No fern,3,12
218,1,Local,Female,9+years,No fern,3,12
219,0,Exotic,Female,9+years,Fresh fern,3,12
220,1,Local,Female,9+years,Fresh fern,0,12
221,0,Local,Female,7-8 years,No fern,0,12
222,0,Local,Male,6 years,Fresh fern,0,12
223,0,Exotic,Female,3-5 years,No fern,0,12
224,0,Local,Female,7-8 years,No fern,0,12
225,1,Exotic,Female,9+years,No fern,0,12
226,0,Local,Female,3-5 years,Not housed,3,12
227,0,Local,Male,7-8 years,Fresh fern,1,12
228,1,Local,Female,9+years,Fresh fern,1,12
229,0,Local,Male,6 years,Fresh fern,3,4
230,0,Local,Female,6 years,Fresh fern,3,4
231,1,Local,Female,3-5 years,Fresh fern,3,4
232,1,Local,Female,6 years,Fresh fern,3,4
233,0,Local,Female,3-5 years,Fresh fern,3,4
234,0,Local,Female,3-5 years,Fresh fern,3,4
235,0,Local,Female,3-5 years,Fresh fern,3,4
236,1,Local,Female,6 years,Fresh fern,3,4
237,0,Local,Female,9+years,Fresh fern,3,4
238,0,Local,Male,3-5 years,Fresh fern,0,12
239,0,Local,Female,3-5 years,No fern,0,12
240,1,Local,Male,3-5 years,Dry fern,2,12
241,0,Local,Male,6 years,No fern,0,12
242,0,Local,Female,6 years,No fern,0,12
243,1,Local,Female,6 years,Dry fern,1,12
244,0,Local,Male,3-5 years,Fresh fern,0,12
245,0,Exotic,Female,6 years,No fern,0,12
246,1,Local,Female,3-5 years,Dry fern,1,12
247,0,Local,Female,6 years,Fresh fern,0,12
248,1,Local,Female,3-5 years,Dry fern,2,12
249,0,Local,Female,7-8 years,Fresh fern,0,12
250,0,Local,Female,3-5 years,No fern,0,12
251,0,Local,Female,7-8 years,No fern,0,12
252,1,Local,Male,3-5 years,Dry fern,2,12
253,0,Local,Male,3-5 years,No fern,0,12
254,1,Local,Male,3-5 years,Dry fern,3,12
255,0,Local,Female,3-5 years,No fern,0,12
256,1,Local,Female,3-5 years,Dry fern,3,12
257,0,Local,Female,7-8 years,No fern,0,12
258,0,Exotic,Female,7-8 years,No fern,0,12
259,0,Local,Male,3-5 years,No fern,0,12
260,1,Local,Female,3-5 years,Dry fern,3,12
261,0,Exotic,Female,6 years,No fern,0,12
262,1,Local,Female,6 years,Dry fern,3,12
263,0,Local,Female,7-8 years,No fern,0,12
264,0,Exotic,Female,7-8 years,No fern,0,12
265,1,Local,Female,3-5 years,Dry fern,3,12
266,0,Local,Female,6 years,No fern,0,12
267,0,Local,Female,9+years,No fern,1,12
268,0,NA,Male,9+years,Fresh fern,0,11
